name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,,
Cozy Furnished Flat in Residence,Eralp,Sisli,41.05783,28.99253,Private room,384,2,0,,364,,
"Galateia  Bosphorus, 1BR w Terrace",Galateia,Beyoglu,41.02954,28.97551,Entire home/apt,1536,1,0,,365,,
Sanctuary of Peace,Ferhan,Adalar,40.871,29.1295,Entire home/apt,137,1,2,0.16,364,,
Long Term Apt. Beyoglu/Center,Living,Beyoglu,41.03537,28.97316,Entire home/apt,500,3,10,0.13,2,,
Zero km to City Center -- Friendly ,Esen,Sisli,41.05382,28.99028,Private room,151,2,35,0.35,179,,
Sweet Garden  House,Mehmet,Besiktas,41.05091,29.02262,Private room,110,3,1,0.01,365,,
Exclusivity in Istanbul Bosphorus View,Xflats,Beyoglu,41.03655,28.99017,Entire home/apt,926,2,3,0.03,342,,
Exclusivity in Istanbul City View,Xflats,Beyoglu,41.03789,28.99014,Entire home/apt,1536,2,1,0.01,365,,
Studio apartment İstiklal Street,Behiye,Beyoglu,41.03234,28.97472,Private room,692,2,0,,365,,
"Bosphorous View, Greenary, comfrtbl",Rajesh,Besiktas,41.08725,29.03729,Private room,322,1,0,,365,,
pvt Apt ◆ Anatolian Side of Istnbul,Can,Uskudar,41.02544,29.03525,Entire home/apt,267,1,0,,365,,
Room for sublet IN TAKSIM/CIHANGIR,Irem,Beyoglu,41.03042,28.98457,Private room,192,4,0,,365,,
lovely home with sea view,Akın Savaş,Kadikoy,40.98447,29.02221,Entire home/apt,343,2,11,0.18,363,,
Family  Apartment with Private Hammam,Ceyhun,Fatih,41.00409,28.97903,Entire home/apt,1145,1,1,0.04,365,,
İstanbul Beyoğlu Cihangir,Didem,Beyoglu,41.03323,28.98525,Private room,542,1,0,,365,,
Full Bosphorus sea&Istanbul view ,Gokce Doruk,Uskudar,41.02971,29.01917,Private room,576,1,0,,83,,
120m2 private apart Taxim.,Emre,Sisli,41.04099,28.98675,Entire home/apt,377,2,7,0.07,365,,
Walk to GRAND pazarيوسف باشا مشي لبيازيت,Bãśmä,Fatih,41.01237,28.94659,Private room,110,2,62,0.63,180,,
on Galata Roofs.  Super central istiklal avenue,Lino And Gioia,Beyoglu,41.03383,28.98168,Entire home/apt,322,2,28,0.38,364,,
Furnished Double BR with Breakfast,Ali Sinan,Beyoglu,41.03137,28.97318,Private room,843,1,0,,365,,
Full Bosphorus Sea View ◆ near Park,Gokce Doruk,Uskudar,41.0309,29.01983,Private room,267,2,0,,365,,
in the city center,İnan,Sisli,41.07587,29.00994,Hotel room,274,10,2,0.03,365,,
Modern Deluxe Studio Near to Taksim,Murat,Beyoglu,41.03788,28.98258,Private room,459,1,0,,365,,
